$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
2$Anxiousness associated with Depression$5/5/2019 1:08:43 PM$Reviewer: LeeLee, 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I previously took this medicine every day, along with my antidepressant which I have been taking for years.  I now only have to take alprazolam as needed, if I have anxiety, or trouble getting to sleep and it works great.  I guess if I wasn't on the antidepressant I would probably have to take the alprazolam daily.  But I have had no problems with alprazolam being addictive, ever.  It has helped me in the past when I've had severe anxiety attacks, and it now continues to help if I still have anxiety attacks, and problems getting to sleep.  I'm happy to have this med, and would recommend it to anyone needing relief from anxiety or sleeplessness, etc.
4$Anxiousness associated with Depression$1/25/2019 6:57:03 AM$Reviewer: stix, 55-64 on Treatment for 2 to less than 5 years (Patient) $5$5$5$i am a w.m.over 50<60 have always had bad anxioty ADHD now AADHD been taking it bout 3yrs.realy helped dealing with my wife's terminal cancer we fought for four years. her death 1.5yrs past was an emotional killer.sank into super depression. alprazolam is the only thing that kept me from suicide or worse i am sure.it made me just clear enough to think about the people who truely have love for me when i did  not.i am sure it helped me see a little clearity  betwen the fine fine spaces between the bouts of TOTAL DEPRESSION.had no regaurd for life(mine or anybody within my five foot circle of my space). alpraz.ER was and is my only glimps of love within me and contol(so to speek)of my very very quick temper and rage, so i supoze(i am sure)put my depression in a bit of check for short piriods of time just for the short glimps of reality.rounded the rough edges of depression,anxioty,loss of love(hatetred for myself and anyones life) and was and is a lifesaver for myself and the fools(anyone wanting to confront or joke at my expence)who have no idea of the CRAZY thoughts in this confused and so messed up mush of a brain....
7$Anxiousness associated with Depression$2/7/2018 7:27:29 PM$Reviewer: PharmaB, 45-54 Female  (Patient) $5$5$5$Very effective also very habit forming.  Withdrawal is horrendous.
10$Anxiousness associated with Depression$8/23/2017 12:52:38 PM$Reviewer: Cbrown5209, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$
419$Anxiousness associated with Depression$2/27/2010 9:34:10 AM$Reviewer: 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$5$
424$Anxiousness associated with Depression$2/10/2010 12:50:15 PM$Reviewer: roseppsam, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$"  After one week I do not get upset if some
thing small I did wroug.I can concentrate 0n things longer.  "
428$Anxiousness associated with Depression$1/29/2010 9:33:33 PM$Reviewer: IRINA, 25-34 Female  on Treatment for 1 to 6 months (Patient) $3$2$2$VERY ADDICTING... I ONLY TOOK IT FOR 3 MONTHS! AND BY THE WAY, I TOOK .5MG..THE LOWEST DOSE!!! DON'T TAKE IT! TRUST ME, ATIVAN IS QUICKER ACTING AND IS LESS ADDICTING. I HAVE PANICK ATTACKS AND DEPRESSION AND ATIVAN IS JUST AMAZING.
432$Anxiousness associated with Depression$1/22/2010 1:52:18 PM$Reviewer: [email protected], 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) $3$3$4$Is this medicine habit forming?
435$Anxiousness associated with Depression$1/19/2010 10:45:50 AM$Reviewer: Been there-done that, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$4$"My experience with this medication was almost a miracle. I have always,since childhood, had anxiety,overwhelming moments that basically kept me from being able to get control of myself to calm down and focus.That which made me angry,quick to just lose self control on anyone anywhere. this medication was the best thing that basically ever helped me to be able to stop,think, and react as a ""normal"" person does.One crucial warning to everyone-It is not a miracle cure.Please only take as prescribed,NO MORE.!! If you take to many even a few times and you end up going completely without it can and WILL and DID cause seizures. I was driving when it happened to me.It wasn't just one seizure it was several. I did not kill or hurt anyone except for breaking my own back.Please be careful on this and all medications.Lesson learned-follow directions and take ONLY as your doctor prescribes.And DO NOT stop taking all at once. Let your Dr. take you off slowly. It is safer."
436$Anxiousness associated with Depression$1/16/2010 6:51:49 PM$Reviewer: 55-64 Female  on Treatment for less than 1 month (Patient) $4$4$4$
441$Anxiousness associated with Depression$1/12/2010 10:14:01 AM$Reviewer: 35-44 Male  on Treatment for 1 to 6 months (Patient) $4$4$5$
446$Anxiousness associated with Depression$12/26/2009 6:51:12 PM$Reviewer: rextire, 35-44 Male  on Treatment for 1 to less than 2 years (Caregiver) $2$4$3$calms me fast
456$Anxiousness associated with Depression$11/1/2009 8:07:03 AM$Reviewer: MsSuniDaze, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$Other drugs of this type made me irritable and more anxious. Xanax was a blessing. I was clear headed, not clouded or confused. It gave me my confidence back for work. However-there are drawbacks. This is VERY addictive. I'm on 1mg x4per day. But there are occasions (like most of you) you take more, some MUCH more. Those cause complete black outs. I remember nothing of what I was doing, even eating out with family and watching a movie. And withdrawls are brutal-NO cold turkey. Work with your doctor to wean off. I still take-with caution and control because they are the only ones that help me control my life and stay focused. Main word there-focused. But it's a fine line of wanting to take just to prevent an attack and just wanting to relax. Even if you think you are controlled be advised. But used properly it has brought my life back to me.
462$Anxiousness associated with Depression$10/11/2009 11:33:58 PM$Reviewer: jshaqmomma, 55-64 Female  (Patient) $4$4$4$
465$Anxiousness associated with Depression$10/3/2009 3:31:46 PM$Reviewer: Prissy, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$5$This drug has helped me tremendously. There have been no side effects to date and have taken for over a year. 
466$Anxiousness associated with Depression$10/2/2009 2:47:52 PM$Reviewer: 55-64 Female  on Treatment for 2 to less than 5 years$5$5$5$"I take 0.25MG 3 times a day. It has helped with my anxiety and depression condition. I have been on it several years and have had no side effects whatsoever. It has helped me with stress issues as well,even at work.
There is no mental impairement,dizziness or
light headeness. My dosage is very low, compared to other reviews I have read."
468$Anxiousness associated with Depression$9/24/2009 1:46:47 PM$Reviewer: 25-34 Female  on Treatment for 5 to less than 10 years (Caregiver) $4$5$5$
469$Anxiousness associated with Depression$9/21/2009 10:55:34 PM$Reviewer: shelly 112, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$
470$Anxiousness associated with Depression$9/17/2009 11:22:14 PM$Reviewer: 19-24 Male  on Treatment for 1 to 6 months (Patient) $5$4$5$"obviously a narcotic has dependancy issues. Only use it at the onset of high anxiety or you WILL become addicted and you will suffer withdrawls without it. this is also one of the most effective and fastest acting anti anxiety meds which will increase liklyhood of dependancy. either use it properly or suffer emensly, your choice. and the ""three times daily as needed for anxiety"" means AS NEEDED not every single time you wake up, in the after noon, and at night. (this is also perscirbed as a sleep medication which tend to be addictive also... imagin that), Overdosing will cause blackouts, coma, death..."
473$Anxiousness associated with Depression$9/9/2009 12:58:30 PM$Reviewer: 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$
484$Anxiousness associated with Depression$8/18/2009 11:44:38 AM$Reviewer: rohr4199, 45-54 Female  on Treatment for 10 years or more (Patient) $5$5$5$when im feeling a anxious and i take one i start to calm down
487$Anxiousness associated with Depression$8/15/2009 9:34:47 PM$Reviewer: john, 45-54 Male  on Treatment for 1 to 6 months (Patient) $4$5$4$
488$Anxiousness associated with Depression$8/15/2009 12:15:00 PM$Reviewer: yesman, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) $3$3$3$
494$Anxiousness associated with Depression$8/2/2009 2:23:58 PM$Reviewer: Betzy1, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) $5$3$5$"I have taken this for several years and I ran out of my pills not realizing they couldn't be refilled for 10 days and I have had a very anxious and difficult last few days.I never went thru that before because I never had to go without them like that since I was prescribed to take them.
The reactions have really upset me and has me very worried."
499$Anxiousness associated with Depression$7/18/2009 1:16:51 AM$Reviewer: sjr4949, 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$
502$Anxiousness associated with Depression$7/9/2009 8:32:20 PM$Reviewer: 75 or over Male  on Treatment for 1 to 6 months (Patient) $5$5$5$
510$Anxiousness associated with Depression$6/17/2009 4:34:51 AM$Reviewer: josey, 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$
514$Anxiousness associated with Depression$5/27/2009 2:38:02 AM$Reviewer: longleggs, 45-54 Female  on Treatment for 10 years or more (Patient) $4$5$4$
529$Anxiousness associated with Depression$4/23/2009 9:31:19 AM$Reviewer: 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$keeps me very calm and patient
537$Anxiousness associated with Depression$4/6/2009 5:57:27 PM$Reviewer: happy_go_lucky, 45-54 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$This .5 pill helps me sleep and it takes away the fear of flying. I recently noticed that it calms me down when all 8 of my grandchildren are here visiting. I don't get all hyped up just because they are playing wildly.
538$Anxiousness associated with Depression$4/5/2009 10:18:44 PM$Reviewer: 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$
546$Anxiousness associated with Depression$3/25/2009 2:36:17 AM$Reviewer: Jim P. 53, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) $4$4$5$I started taking Xanax when my wife of 32 years suddenly ended our marriage.  I have had severe depression and anxiety associated with this situation.  I have been able to use the 0.5 mg dose at up to 3 mg/day and it has been extremely effective in dealing with the anxiety.  It has not become habit forming as there are many days that I do not have to take it at all or just 0.5 mg in the afternoon and I'm OK for the day.  It is nearly a miracle drug and I'm thankful for the help it has given me.  There are times I could not function without it.
555$Anxiousness associated with Depression$2/24/2009 4:09:35 AM$Reviewer: poopsock, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $3$4$5$
562$Anxiousness associated with Depression$2/5/2009 10:03:03 PM$Reviewer: oliviamc, 13-18 Female  on Treatment for less than 1 month (Patient) $3$4$5$
563$Anxiousness associated with Depression$2/2/2009 3:25:54 PM$Reviewer: 19-24 Male  on Treatment for 1 to 6 months (Patient) $4$4$4$"i was addicted to oxycontin and i have extremely bad panic attacks and anxiety. i started taking 2mg in the morning and 2mg around dinner. its help tremedous with the panic attacks an anxiety its been about a month now and i take 6mg a day and my life fom the addiction of oxycontin is gone this is the best month or two months that i really feel like myself i feel like my life is finnally comming together
"
571$Anxiousness associated with Depression$12/19/2008 8:52:17 PM$Reviewer: $5$5$5$
583$Anxiousness associated with Depression$11/15/2008 3:50:44 PM$Reviewer: 45-54 Female  on Treatment for 1 to 6 months (Patient) $3$3$5$helped me to stop shaking and being anxiuos
585$Anxiousness associated with Depression$11/13/2008 5:22:19 AM$Reviewer: sue, 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$4$5$I am wondering if this drug causes gas in anyone else. This is a serious question
587$Anxiousness associated with Depression$10/26/2008 10:40:21 PM$Reviewer: tomvargo, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I had tried numerous depression medications, but the benefits never outweighed the side-effects. Finally given Alprazolam and the results have been amazing. It was so bad before that I was having difficulty functioning at work. My brain and heart would constantly race and nearly paralyze me. Now on the medication (.5mg in the morning and at bedtime) I am able control the racing thoughts and immense pressure in my chest caused by the racing heart. It doesn't seem to make me tired and on a few very stressful occasions I have taken 2x the dosage and had no side effects.
592$Anxiousness associated with Depression$10/13/2008 6:56:53 PM$Reviewer: niccijean, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I am bipolar and have high anxiety levels. When I take this medicine it calms me. It helps me to not be scared to go out of the house. It helps with the racing thoughts and my depression. I am not always worried about what people are thinking about me. Overall it has helped greatly improve my life. It helps my sleep. I used to be on lots of different meds to treat each condition and this one pill works for it all.
595$Anxiousness associated with Depression$10/7/2008 6:56:19 AM$Reviewer: 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$This medicatiion has helped completely with my anxiety at work and sleeping.  I do not see however if it has a side effect with weight?  gain or loss or does it slow down weight loss?  Please let me know. Thanks
597$Anxiousness associated with Depression$9/27/2008 9:22:03 PM$Reviewer: hopeful 1, 45-54 Female  on Treatment for 2 to less than 5 years (Caregiver) $5$5$5$"I do not know ha I would do without this medication. Ihave been on it for about two yrs. now @.5mg 3time daiy. at time I take even more. I have a very stressful life with an aduld handicapp child living with me. I find it wonderful, but I do think I am
addictive t it now, but it saves me."
603$Anxiousness associated with Depression$9/16/2008 9:16:40 AM$Reviewer: 45-54 Male  on Treatment for less than 1 month (Patient) $2$2$2$I am bipolar and I have up my dosage on my own to 2 mg. 2x a day.  I am returning to my Dr. I don't think it works well enough for me it only last 2 to 3 hours.   Am I taking to much I am manic all the time.
606$Anxiousness associated with Depression$9/4/2008 12:37:31 PM$Reviewer: [email protected], 19-24 Male  on Treatment for less than 1 month (Caregiver) $5$4$4$It helps me not worry from my anxious behavior.  when not on it I allways think something bad is going to happin to my famiy and that gets me really depressed and it allows my to sleep 
609$Anxiousness associated with Depression$8/27/2008 10:25:12 AM$Reviewer: jcla, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$i had bad side affects with this medication 
613$Anxiousness associated with Depression$8/12/2008 3:54:48 PM$Reviewer: b1nanc86, 55-64 Female  on Treatment for less than 1 month (Patient) $1$2$5$
615$Anxiousness associated with Depression$8/8/2008 12:53:10 PM$Reviewer: Jenny, 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$I love it so much I over take it
619$Anxiousness associated with Depression$7/17/2008 8:48:58 PM$Reviewer: 55-64 Male  on Treatment for 1 to less than 2 years (Patient) $5$5$5$This med has changed my life.  I can sleep now and I'm not so moody during the day. I take 1mg every night.
628$Anxiousness associated with Depression$6/15/2008 10:19:44 AM$Reviewer: baig, 65-74 on Treatment for 10 years or more (Patient) $5$5$5$
633$Anxiousness associated with Depression$5/22/2008 1:41:55 AM$Reviewer: Moody Blue, 35-44 Female  on Treatment for less than 1 month (Patient) $5$3$5$Physically and mentally, I felt good taking regular Xanax (just drowsy all the time), but I was tired of taking a half of 0.25 mg, 4x's a day. So I asked my doctor to prescribe the generic XR version, 1 mg. On the first day, I felt great!!! The drug worked wondered stablizing my panic/anxiety attacks (which are far and few between). I'm also taking a colon cleanser to counteract weight gain. After weighing myself this evening, the scale read 4 addtional pounds from my last weigh in which was yesterday morning. I've consumed healthy foods ALL DAY so I don't understand why I'm experiencing such a tremendous weight gain. I'm going to give Xanax XR a week. If my weight continues to get out of control despite my efforts to maintain a managable diet, I'm going to request my doctor to switch me back to the regular Xanax. Other than that, I feel fantastic!!!
637$Anxiousness associated with Depression$5/12/2008 2:21:07 AM$Reviewer: TerryLWoods, 35-44 Male  on Treatment for 10 years or more (Patient) $5$5$5$I have suffered from anxiety ever since I was about 6 years old.  I started taking xanax at the age of 18.  I'm 38 now and have no side affects from it.  Just being calmer is a dream.  I highly recomend this drug for use for people who really need it.
638$Anxiousness associated with Depression$5/3/2008 11:03:07 PM$Reviewer: ed, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$sucks that this is considered addictive but antidepressants aren't? try getting off effexor...
651$Anxiousness associated with Depression$3/19/2008 1:49:00 AM$Reviewer: sparky8265, 25-34 Male  on Treatment for less than 1 month (Patient) $1$1$5$"have had anxiety and depression fo rover 2yrs and bo drug has done a thing for me at all this pill didnt touch my anixty at all just caused me to have enraged anger and depression, couldnt concentrate on anything cant work or think about work without getting physically sick and vomiting I;ve tried around 6-8 different drugs and this was supposed to be the ""WONDER"" drug for aniexty and it didnt help at all at times it feels like it intesified my anxiety more than it did to calm it"
652$Anxiousness associated with Depression$3/17/2008 12:39:34 AM$Reviewer: 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $3$3$3$what is considered a high dosage?
656$Anxiousness associated with Depression$3/11/2008 2:44:09 AM$Reviewer: CRAZYNANCYNGA, 55-64 Female  on Treatment for less than 1 month (Caregiver) $3$4$3$
658$Anxiousness associated with Depression$3/5/2008 12:05:33 PM$Reviewer: [email protected], 75 or over Female  on Treatment for less than 1 month (Caregiver) $4$2$4$loss of control
667$Anxiousness associated with Depression$2/20/2008 1:32:23 PM$Reviewer: $1$1$5$I find I need to take more then I have been perscribed and my doctor will not change the dosage!
674$Anxiousness associated with Depression$2/1/2008 8:53:54 PM$Reviewer: 65-74 Female  on Treatment for less than 1 month (Patient) $4$4$4$used in small dose at night
681$Anxiousness associated with Depression$1/8/2008 8:03:56 PM$Reviewer: Josie08, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$"I don't know what I did before this drug came along.....although I take (Niravam) - or the generic (alprazolam disintegrating tablets)- which I am so glad they finally made this more or less the generic melting form, it helps my attacks so fast but used to cost me almost $300.00 per month.  Not sure about the addiction thing though because I have gone days without and am fine until I have another attack to the point where I cannot breath, sweat severely, and feel as though my heart is going to pop out of my chest and within 3 minutes after putting two .25mg on my tongue I am myself again.  Highly recommend!!!!!  "
684$Anxiousness associated with Depression$1/4/2008 12:03:58 AM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $5$5$5$"Due to a recent break-up, especially around the holiday season, I needed something that would help with the anxiety, depression and that horrible feeling in the pit of my stomache.  Although he was hesitant, my doctor prescribed Alprazolam to try for a couple of weeks.  I'd have to say that it has been very effective.  I only take 1/2 of a .5mg pill when I feel the anxiousness coming on and within about 15 minutes I feel much calmer, yet not ""drugged"".  I can function normally throughout my work day and I feel it actually helps me concentrate better and be more productive.  I'm not saying this is a miracle drug, it has just helped me through getting over the holiday slump and depression."
687$Anxiousness associated with Depression$12/22/2007 1:49:43 AM$Reviewer: 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $4$5$5$This prescription drug has done me wonders going about a normal life without anymore panic attacks and blackouts, it sometimes makes me sleepy but it's worth having a calmer day.
688$Anxiousness associated with Depression$12/19/2007 10:38:29 PM$Reviewer: $5$5$5$anxiety with depression, stopped taking the depression pills due to severe hair loss and these pills helped with the anxiety
689$Anxiousness associated with Depression$12/18/2007 3:13:30 PM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$
704$Anxiousness associated with Depression$10/30/2007 8:39:24 PM$Reviewer: lillybee, 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$"helped panic attacks, depression, also
a sleep aid. .5 mg at bedtime has finally
relieved insommia. along with anti-depressants i finally have a life"
706$Anxiousness associated with Depression$10/16/2007 1:49:00 AM$Reviewer: $5$5$5$In conjunction with Lexapro I've found Xanax to be incredibly helpful for me to function and interact with people throughout the day
714$Anxiousness associated with Depression$9/18/2007 2:05:36 PM$Reviewer: Jackie, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $4$3$5$I know this med. helps me with my anxiety, but I have in-laws who stereotype the med. 
719$Anxiousness associated with Depression$9/9/2015 2:05:49 AM$Reviewer: 65-74 Male  on Treatment for 1 to less than 2 years (Patient) $3$3$4$
722$Anxiousness associated with Depression$11/14/2013 2:50:54 PM$Reviewer: xanax, 65-74 Female  on Treatment for 5 to less than 10 years (Patient) $1$1$1$with prozac,this  drug has been a life saver
