$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
504$Bipolar Depression$11/15/2013 2:23:50 AM$Reviewer: Jram, 13-18 Male  on Treatment for 6 months to less than 1 year (Patient) $4$5$3$"I was put on this in addition to already taking Prozac. Before taking Lamictal, the Prozac was worsening my condition, but Lamictal was a lifesaver! It really helped me get to a place where I could make progress in therapy any whatnot.

The only downfall is that unlike my other pills, Lamictal is very potent in taste, and if it touches even a single taste bud, it will fill your mouth with a disgusting taste. Ugh."
507$Bipolar Depression$9/29/2013 7:30:01 PM$Reviewer: jaabrah, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$Folks, you have to take lots and lots of water with this drug. You should really think about ever exceeding 150mg to 200mg. I was on almost 600mg for a six month period. I am on 150 a day and its been remarkable. Check and make sure you take it at the exact same time everyday and you will see the headaches lessen. Check your white blood count yearly, I have had bouts of severely decreased white blood count, although it hasn't become a real factor its just alarming. this is the only depression medication I have ever seen that has these limited side affects and the best results.
508$Bipolar Depression$9/29/2013 12:25:26 PM$Reviewer: basket, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$5$"I have been on this drug for over a year and after reading some of the other comments I got the ""Oh, that's me too!""  For instance, I have neck pain and my glands are swollen, and I've gone up two bra sizes - gained weight also.  It does seem to work, although not as well as others have said has worked for them.  I am thinking of backing off of it but will need to ask my doctor as I am also taking Efexor (I'm spelling that wrong)!"
509$Bipolar Depression$8/26/2013 8:27:46 PM$Reviewer: 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Lamictal has been a life saver for me.
510$Bipolar Depression$8/26/2013 4:31:08 PM$Reviewer: 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$After being treated with numerous antidepressants, with no luck, and often worsening of symptoms, I was finally put on Lamictal by my psychiatrist (3rd psychiatrist). I noticed a great improvement after only 3 weeks of being on the medication. Now I'm stable and on 100 mg a day which is quite low but it works wonders for me. No more irritability, feelings of guilt, mood swings and depression. This really is the holy grail for me. I also have noticed any side effects.
512$Bipolar Depression$8/21/2013 2:44:51 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I started Lamictal 7 weeks ago and have noticed a huge difference in my mood. I have been more interested in activities, had more energy, been less irritable, less angry and overall happier.  For the first few weeks I had terrible nausea and vomiting, but that is getting better.  I would get nauseous with the slightest odd smell or if something gagged me.  That hasn't happened for the last few days so I am hoping to be over that.  Haven't really noticed any other side effects.  Overall, having a good experience and would recommend.
513$Bipolar Depression$8/12/2013 5:51:02 PM$Reviewer: jumpinjack, 65-74 Male  on Treatment for 5 to less than 10 years (Patient) $1$1$3$It's done nothing to help me
514$Bipolar Depression$8/8/2013 10:56:33 AM$Reviewer: Runner, 13-18 Male  on Treatment for less than 1 month (Caregiver) $1$1$3$"Hi, my 16-year-old son just started Lamictal on 7/6/2013 for mood disorder. He started on 25mg and now 75mg and will start 100mg on the 16th.  He's basically very depressed.  He was on Effexor and Seroquel (400mg XR) for some time but developed some breast tissue on the nipple area.  So he stopped Seroquel and started Lamictal as mood stabilizer. After stopping Seroquel, the breast tissues are still there.  The Psychiatrit said there is no the same side effect on boy growing breasts for Lamictal.  However, from some web sites, I saw a lot of women talking about their breasts were signigicantly enlarged for a couple of cups. I also read 2 posts saying one 13-year-old boy and a middle-aged man discribing they have gynecomastia.  Could anyone shed light on this problem?  Is there any document indicating this is a side effect?  Do you have any experience with it?  Seroquel can increase the prolactin level.  I am not sure if Lamictal has the same side effect but works in a different way (estrogen, etc.).  I did read that Effexor has the same side effect but very rare. I only hope my son's problem is not getting worse with the treatment.
Your kind help is very much appreciated."
515$Bipolar Depression$8/4/2013 1:43:03 PM$Reviewer: laurielynn17, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$"I have just gone from 100 mg.2X/day to 200mg.2x/day and am having some ""fuzzy brain"" and sleepiness, and a stiff neck. Overall this med has been very effective in treating my depression in the past year or so. I am hoping that the side effects with the higher dosage will diminish with time. Not bipolar, btw but no selection on the dropdown list for major depression. "
517$Bipolar Depression$7/25/2013 3:01:23 PM$Reviewer: 55-64 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$After 12 yrs. of trying more than a dozen antidepressants, often times these AD's made the depression worse.  My MD started me on Lamictal:  Worked up the 100mgs a day and I feel awesome!! Like I did 15 yrs. ago.  Hope it stays this way, no side effect.  :-) 
518$Bipolar Depression$7/21/2013 10:45:53 AM$Reviewer: Lamictal, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $2$2$4$
521$Bipolar Depression$6/16/2013 4:38:14 PM$Reviewer: Kathy, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $5$1$1$I started losing hair being a female this is very concerning. I have researched this of course the co denies this as a side effect I found many people having the same problem and months after stopping they are still losing hair. I did read somewhere if this happens it usually starts about 4 months after starting well I have been on it 7 months and my hair loss is horrible weaning myself off of it right now and I hope it will stop. One lady had long thick hair and cannot even put it in a ponytail the hair loss is so extreme
524$Bipolar Depression$6/10/2013 2:01:45 AM$Reviewer: Danae Davis , 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$"Going on week 7 of use. Am now up to 150 mg and my p said that's where I'm going to stay for a while to see how it goes. I have noticed my glands are swollen a little in my neck, and I got a small mouth sore on my gum but it went away on its own. Yesterday I had severe muscle spasm in my legs on the verge of complete muscle failure in the calves more specifically. The headaches went away in week 2. No weight gain significant. Bad tummy when I don't eat for over 4 hours or so, and I get extreme thirst at times. I'm seeing my p next week, I will discuss the muscle pain, since it seems to be the most severe issue so far. Can barely walk today due to muscle fatigue out of no where. Sleeplessness for short times, but HOORAY, no agitation or moodiness for 4 weeks now. I'm really proud to know that I'm not an angry depressive person all the time. I'm making art again, writing music....it has given me back ""Me"" back before depression was an issue."
527$Bipolar Depression$6/4/2013 11:46:49 PM$Reviewer: 55-64 Male  (Patient) $4$3$5$I have lost much of my ability to smell things.
528$Bipolar Depression$6/1/2013 7:38:14 AM$Reviewer: Elizabeth, 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I have never written a review of anything in my life but I can't say enough about this drug and I wanted other people who are bipolar to benefit.  You can start at a low dose and work your way up gradually.  Lamictal prevented me from backsliding further into my depression and brought me out of it.  I am not depressed and feeling stable for the first time in five months.  Please try this drug and I hope it works for you!
530$Bipolar Depression$5/28/2013 12:47:42 PM$Reviewer: 65-74 Female  on Treatment for less than 1 month (Patient) $2$2$5$Took it briefly; experienced swelling in feet, as I did with Lyrica.  Have stopped it.
531$Bipolar Depression$5/24/2013 10:27:16 PM$Reviewer: Daphne, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $2$3$2$Be forewarned about extreme depression & vitamin D deficiency! I took this for years and was greatly affected by a little-known(but stated in the literature)very bad side effect. Extreme Vitamin D deficiency, which caused profound depression, low energy and lowered immunity. As someone who struggles with depression I could see my depression was not connected to events. The literature indicates that this drug produces liver enzymes hostile to vitamin D. THAT is a problem! I had a level 5.5, should of been 36 or so. That depression-crying for no reason at work!& compromised immunity, extreme fatigue is not uncommon. Follow bipolar groups and you will find a pattern of extreme depression when patients start on it oftentimes. Alot of them complain about it. Be CAREFUL.
533$Bipolar Depression$5/19/2013 3:26:17 PM$Reviewer: bitsey, 55-64 Female  on Treatment for less than 1 month (Patient) $1$1$4$just started 25 mg..dont know if it is the meds or not but am having pressure in my head, not headaches
535$Bipolar Depression$5/6/2013 10:46:58 PM$Reviewer: 19-24 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Lamictal has been the missing link that I needed. It started helping after a short period of time. I got up to the recommended dose (100mx 2x daily), it helped a ton, but was not quite there... I wend through a short cycle of depression, the pdoc upped my Wellbutrin, I went into mania so he lowered it back down, then I was on the low side. He upped the Lamictal to 150 mg 2x daily, and I have been great (please note, that is not a recommended dose for Lamictal used for bipolar, but is well under that which can be prescribed for seizures, he raised it after consulting with other psychiatrists in his office). It has worked well with my particular cocktail to stabilize my bipolar symptoms. -Wellbutrin XL 300 mg (in am) -Seroquel 100 mg (in pm) -Lamictal 300 mg (15 mg 2x / day)
536$Bipolar Depression$5/5/2013 3:39:07 AM$Reviewer: Smac1100, 25-34 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$What else can I say! Lamictal is a godsend. Suffered from bipolar/ anxiety for many years. Tried every AD and heaps of benzos. Been on Lamictal for 2 months and feeling the best I have in 10 years. No side effects!! 
537$Bipolar Depression$5/3/2013 2:04:24 PM$Reviewer: agr3000, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) $4$3$5$The good: this medication (I take lamotrigine, 100 mg 2x/day) has made a noticeable difference in terms of lengthening the time between major depressive episodes. The bad: This medication never fails to cause me severe headaches whenever I drink even a single beer or glass of wine. The headaches start shortly after drinking the beverage and typically last until the next morning. The headache pain is not lessened by taking over the counter pain relievers. Although I've never had more than 2 beers at one sitting (well, during adulthood anyway!), I do enjoy having them on occasion. I've switched to O'Doul's but I'm pretty fed up with the situation. At least I didn't get the rash!
540$Bipolar Depression$4/17/2013 8:20:43 PM$Reviewer: plyder12, 55-64 Male  on Treatment for 5 to less than 10 years (Patient) $3$3$3$I have been on Lamictal since 2001. I take 100mg twice a day, 6am & 3pm, I also take 200mg of Bupropion at 6am & 3pm. I have horrible deep depression and fears. I have Bipolar 1, so they say, but I've never been manic, I just have deep depression and deeper. I am better then I was prior to 2001. I could not move. leave the house or shower. I sleep as much as I could. I did not want to live - but I didn't harm myself. I couldn't socialize. I was petrified. Now, I work, care for the home & boys and shower often. But I stay in my small office, alone,  all the time. I do not have fun, I can't. Confusion & short term memory loss. Horrible fears and nervousness. Afraid of phone and mail. No ambition no sex. Want to get off med but it's hard, makes you sick. I'm sure Lamictal is helping I just might not be able to help. I've had many traumas, baby died, had stoke,lost best job, lost wife, kids arrest, wife narcissistic, bankrupt. One thing after another, no peace, no money now after wife left headed for homeless.   
541$Bipolar Depression$4/16/2013 3:53:33 PM$Reviewer: Katie1971, 35-44 Female  on Treatment for less than 1 month (Patient) $5$5$5$I have been taking Lamictal (generic form) for approx. 3 weeks and words can not truly express how much this Rx has changed my life for the better! Before taking this med I was living with so much emotional agony and strife...terrible mood swings, chaotic relationships, could not hold a stable job,etc. I finally hit rock bottom and saw a psychiatrist. Was initially scared to take meds because of the scary potential side effects. But I was willing to try anything to save my life & sanity!!! Within ONLY 2 days of taking 25 mg I felt much, MUCH better. Very calm ,without the erratic mood swings. Now I am up to 50 mg daily and feel even better. My boyfriend was on the verge of breaking up with me before lamictal, he just could not handle my raging mood swings and verbal abuse. Now we are happy and finally have a loving,healthy relationship!!! THIS MEDICINE IS A GODSEND!!!! AI RECOMMEND IT TO ANYONE WHO IS SUFFERING IN MISERY AND WANTS TO FINALLY ACQUIRE INNER PEACE.
548$Bipolar Depression$4/6/2013 10:44:26 PM$Reviewer: Poppy, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I have been on 500mg daily for about 9 years and it works for me. For many years I was treated with antidepressants, many different ones with initial success and then they would fail. It took many years to get a bipolar 2 diagnosis and to settle on the right treatment. I notice that my memory isn't as great as it was but for me it's nothing to worry about. Maybe that's the med's speaking and I should be worried :-)But seriously, this has changed my life for the better. 
549$Bipolar Depression$4/6/2013 8:15:54 PM$Reviewer: Carol, 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$3$I was given this medication as a patient. This medication should be given with much care. Within two weeks of taking this medication, I began to notice spots on my skin. I eventually ended up in the hospital for three days, and given morphine for the pain. I am now permanently scarred for life.
550$Bipolar Depression$4/6/2013 3:53:03 PM$Reviewer: tbt, 45-54 Male  on Treatment for 1 to 6 months (Patient) $3$3$3$only on for3mths dropping priztq
552$Bipolar Depression$3/31/2013 1:01:27 AM$Reviewer: hayben97, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$5$After becoming super depressed from gaining 20 pounds on Depakote, my doctor put me on Lamictal and unlike many people I lost most of the weight I gained previously. This medication has definitely helped even out my lows and highs, but I have experienced many negative side effects. My memory is horrible which makes going to school really difficult and I am sick to my stomach every day. I also have extremely severe anxiety and my doctor told me this medication would help with that, but it hasn't in the slightest. Although this drug is helpful, i'm not sure if it's worth all the side effects.
553$Bipolar Depression$3/29/2013 1:53:16 PM$Reviewer: happy mom, 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$5$I have been on this for 7 years. I take it 1/2 of my dosage at 2pm and the other before bed. It makes me alert and happy but sometimes numb but the second half puts me to bed. I think it's a wonderful solution when you are about to give up. Memory loss is awful. But, it's better than being a complete mess too.
558$Bipolar Depression$2/25/2013 2:22:00 AM$Reviewer: schleprock, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $4$3$5$Went very very low then on lamictal and felt better each day.  Poor memory, cant find words and sometimes feel like a zombie but its better than being so depressed I cant open my eyes.  Still get low moods but no more of the fun manic mood swings.  Terrible weight gain and brittle teeth from dry mouth are side effects I have. Also on cymbalta, risperdal, ativan and narcotic pain meds.  Lamictal seems to help with craving the narcotic if I am trying not to take too much.  Sometimes feel like a hollow shell when something happens that I should be reacting to.  But at leasy Im not where I was 3 years ago.
562$Bipolar Depression$2/11/2013 1:23:04 PM$Reviewer: pinkiepink, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $5$3$5$does this make ur hands shake? I am now on 300miligrams..can this be the cause???I also amon thorazine 75 mil a day  and ativan 2 mil. 3 times a day..He uped my lamictal 11 abd my thrazine 25  what one is causing my really bad shaky hands???? Please someone talk to me.....
565$Bipolar Depression$2/6/2013 5:28:42 PM$Reviewer: mrs.may, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$"I do believe that it has affected my memory,I use to be able to remember everything even small things that most people wouldnt,my husband notices it alot,I am going to discuss this with my dr, I have read alot of other people having memory loss also but the med it self is very effective..this is the catch 22
"
567$Bipolar Depression$1/27/2013 3:57:16 PM$Reviewer: 19-24 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Very easy to use just take once a day I take 125mg no side effects what so ever very happy with this medicine.
570$Bipolar Depression$1/17/2013 12:50:36 PM$Reviewer: Lolagrace44, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Love this drug! I have Bipolar 2 and this has so effective! I take 150mg and had no side effects whatsoever . 
571$Bipolar Depression$1/12/2013 10:02:43 AM$Reviewer: johnallen, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) $3$3$5$severe hair loss--blinking of eyes --blurred vision--insomina--confusion
575$Bipolar Depression$12/27/2012 12:02:16 PM$Reviewer: pig, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $1$1$1$i stay sick all the time and am getting worse
576$Bipolar Depression$12/27/2012 8:57:07 AM$Reviewer: 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $3$2$4$its  bad drug to use 
577$Bipolar Depression$12/24/2012 2:34:42 AM$Reviewer: None, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) $4$3$5$I have been taking this for 15 mos. At 1st it really helped. Then a cpl mos. ago I felt like I did  b4 I started. so she upped the dosage. im at 200mg a day now & its ok but I wish I felt like I did at 1st. im easily agitated all over again. side effects-I have gained weight which is the worst part.(more than a lil) hair loss but I have thick hair so I dont mind. I tried about 2 months ago to stop taking it. after 3 days I physically felt awful. now that im at the 200 mg if I miss a dose (which makes it 24 hrs w/o) I physically feel awful. my body aches terrible. As soon as I take it all the aches go away. I believe its addicting. however for me its better than taking nothing.
579$Bipolar Depression$12/10/2012 3:53:20 AM$Reviewer: mps97tahoe, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$4$the only problem i have had is bad teeth its like i can bite into a piece of bread and break a tooth it started about 6 months to 1 year after starting lamictal
580$Bipolar Depression$12/6/2012 8:00:53 PM$Reviewer: AeroEng , 25-34 Male  on Treatment for 1 to 6 months (Patient) $1$1$5$I had my airway swell up when talking this drug over 200mg. I started vomiting a few hrs. after taking and felt very sick. I attempted to try this drug several times with the same results. I don't think this is a bad drug it just didn't work for me. 
583$Bipolar Depression$11/20/2012 9:52:50 AM$Reviewer: 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$It has changed my life. Like another reviewer said you loss your highs but you loss your lows too. My lows almost lost me. I do notice my memory isn't very good & I have gained about 5 pounds (but married now too which would've never happen before this meds)I've been on it for a little over a year. My low point was almost lossing everything....I knew I needed help but didn't know what was wrong with me.  I would recommend anyone with bipolar to ask your doc about it.
585$Bipolar Depression$11/13/2012 12:18:29 AM$Reviewer: lamictal, 65-74 Female  on Treatment for less than 1 month (Patient) $5$5$5$
589$Bipolar Depression$10/13/2012 9:34:15 PM$Reviewer: Kay, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$Almost no side affects.  Just get sleepy so I take it at night.
590$Bipolar Depression$10/10/2012 2:59:20 PM$Reviewer: 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $4$4$5$I have been on Lamicatal for Bipolar distorter for 7 years. No hair loss (I've seen that a lot on here). I think it has really helped take the edge off, mood-wise. That being said, I can't even remember what I was like before it. I know I was more brave, more outgoing. I guess I had to give up the highs to lose the lows though. My memory is pretty shitty and a bit concerning. I'm always hungry and my body temperature is always around 99.5. Not sure if this is all related to Lamictal but I thought I should mention it.
593$Bipolar Depression$10/2/2012 10:14:14 AM$Reviewer: gzeichner, 65-74 Female  (Patient) $2$2$5$"I have longer periods of time without deep depression. On two occasions I have had something I'll call ""jelly legs"" with complete lack of coordination in my legs. (Once it caused me to fall off a curb and the second time I made a fool of myself trying to walk down the concourse in a large air port.) Both times the episodes (three years apart) seemed to have to do with how little food I had eaten that morning prior to taking Lamictal. My first psychiatrist took me off the drug altogether and then put me back on it when I was experiencing deep and long depression. After the second episode of losing coordination, my new psychiatrist wrote down ""low blood sugar"" with no discussion. I have researched the web and have found a little information about this side effecbut not much. Warnings are not apparent on the drug information from the manufacturer."
595$Bipolar Depression$9/21/2012 7:48:19 AM$Reviewer: t, 35-44 Female  (Patient) $4$4$3$used for bipolar,works but some negative side effects
596$Bipolar Depression$9/20/2012 8:21:22 PM$Reviewer: runner, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$stable moods weight gain in belly increased appatite
600$Bipolar Depression$8/15/2012 4:00:02 PM$Reviewer: undhvz, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) $5$3$3$
601$Bipolar Depression$9/10/2012 8:27:47 PM$Reviewer: 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $4$4$4$
602$Bipolar Depression$8/14/2012 3:42:13 AM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$2$5$"Mental drugs are weird! You never KNOW how it will effect you.  My psych told me this would help me sleep.  Nope.  When I first started taking it my feet, hands, and ankles swelled up.  Went away.  Headaches also went away.  I'm on my 3rd week taking 100mg and I am only getting 3-4 hrs sleep a night for the last 4 nights!!  On the up up side.  I have more energy than ever!!!  My house is gorgeous and I'm making improvements every day.
"
603$Bipolar Depression$8/12/2012 3:57:28 PM$Reviewer: Love2LearnMel, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $3$2$2$This medication I was put on after wingeing off of Seroquel XR (after reg serogual a diff psychiatrist put me on). My doctor thought it would be the best for me, he only has me taking 50mgs a night. It works somewhat, for mood swings and high and lows. But I also work out regularly and attend a local church. If I stay positive and stay around positive people it helps tremendously. DISLIKES of this drug are hair LOSS, memory LOSS. I take fish oil supplements to help with my memory. Lack of sleep is also a cause of my memory problems. Other then that, the drug seems to be working for the past two years I have been taking it. 
605$Bipolar Depression$7/27/2012 7:02:16 PM$Reviewer: Jeeger, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$MY HAIR IS FALLING OUT!!! It's so thin now, that you can see my scalp! I was taking it for about 8 mos, and about three weeks ago I stopped taking it on my own. Made me SOOOOO sad, always tired, lack of interest in EVERYTHING! Never stabilized anything, saw no difference AT ALL, except that I will probably have to eventually wear a wig, because it'd STILL falling out!! I had blood test done to make sure my hair wasn't falling out due to a medical reason, but it all came back fine. narrowed it down to THIS medicine!! Look for options...... : ( 
607$Bipolar Depression$7/12/2012 1:08:12 PM$Reviewer: NYNMGAL, 55-64 Female  on Treatment for 1 to 6 months (Patient) $1$1$4$"BE VARY CAREFUL OF THIS MEDICATION!  I am very sensitive to medication so started in very small dosage.  However, shortly afterwards my body (nervous system) stopped having any feelings!!!! Couldn't walk.  The way I knew it was this medication was once the medication wore off, the feelings in my body (legs) returned.  Upon taking the next schedule dosage couldn't walk again.  
One incident I was taken to emergency in a wheel chair unable to talk and six hours later walked out of emergency room.

VERY SCARY DRUG FOR ME.  Be CAUTIOUS!"
608$Bipolar Depression$7/12/2012 12:53:56 PM$Reviewer: me,  Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$1$my hair fall out and it looks fried my hair used to look healthy.
609$Bipolar Depression$7/8/2012 7:46:01 PM$Reviewer: 65721, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I was started with Lamictal 2 years ago. It has been nothing less than a wonder drug. Granted, I was also kept on Celexa, and was rehabing from a meth addiction. I still think it has made a huge difference in my life.
615$Bipolar Depression$6/24/2012 11:53:40 AM$Reviewer: souldog22, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $4$5$5$"I'm on Adderall 20mg & Lamictal 250mg. I have always had depression, but after 7 yrs in bed due to the death of my mother in 2003 & only child in 2007 at the age of 23 I finally went to a Psyc 1 1/2 yr ago & was dx with Bipolar Depression. I fought dx because of no manic (whoo hoo, happy) moods, then was told it was due to my anger & the depression was so deep it was very hard to come out of. I was put on Adderall with no side effects. It does get me out of bed in the am. My husband calls Lamictal the miracle drug. That's because he was on the receiving end of my anger rants & they were really bad! I was doing great with my medication for a while, but I can't afford therapy & it is a daily struggle to keep myself motivated. I do get unscheduled motivation, what I call ""A bug up my ..."" & I go until I can't, but they are far & few in between. I think I need an increase in my Lamictal. I have noticed that I am having a hard time with my anger lately. All in all I am satisfied with Lamictal. It has been a lifesaver for me & probably my marriage."
619$Bipolar Depression$6/9/2012 6:14:54 AM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $3$1$3$This drug causes severe digestive problems. Beware!!!
621$Bipolar Depression$6/2/2012 8:50:13 PM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $2$3$5$"Just recently started taking a very small dose (.25 mg).  It seems to have helped *somewhat* in that my agitation seems to be more manageable.  

I do, however, feel a bit 'weepy' at times, somewhat like PMS.  Not sure if that's depression or a side effect. I have noticed that my eyes are red, itchy and burning-- almost like conjunctivitis-- and I'm very dehydrated. The itchy eyes may be due to allergies (of which I have many) but it popped up as soon as  I started this medication.  I will most likely discontinue since I don't want to run the risk of messing with my vision and I am also quite concerned about 'The Rash' that appears to be not as rare as I thought. My coordination and memory is also a bit wonky and my appetite has increased.   

I gained a TREMENDOUS amount of weight (in addition to other unbearable side effects, like drooling, nervous movements, non-existent cognitive abilities) whilst on other psychotropic drugs 18 years ago, which led to my discontinuing all medications until recently after my symptoms became more troublesome.  

I am therefore quite wary of psychiatrists and psychiatric drugs."
622$Bipolar Depression$5/28/2012 3:07:18 PM$Reviewer: prinavy, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) $4$2$4$Prior to having this medication prescribed to me, I was on celexa, 40 mg. I still had mood swings, mostly depressive. I was prescribed lamictal. Within two weeks was I much better off. Now, after being on it for about 5 years, I have been experiencing forgetfullness and lack of ability to concentrate. It's like my short term memory is getting worse. My wife is on lamictal, also and has the same side effects. We are really concerned. 
623$Bipolar Depression$5/28/2012 6:27:37 AM$Reviewer: 35-44 Female  on Treatment for 5 to less than 10 years (Patient) $4$4$3$Have been on this med for several years now.  Still have some cycling but not as bad or as often. Still have some depression but normally able to manage on my own. Am able to sleep most nights.  This is a definate improvement.
625$Bipolar Depression$5/9/2012 11:00:09 AM$Reviewer: JenLynn1013, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I have been on this medication for years. I love it! It is different for everyone so to each their own, but i would definitely recommend it!
627$Bipolar Depression$4/25/2012 10:20:37 PM$Reviewer: nyc, 45-54 Male  on Treatment for 1 to 6 months (Patient) $3$3$3$it's working good for me at the present time
629$Bipolar Depression$4/21/2012 11:35:16 PM$Reviewer: cathair, 35-44 Female  on Treatment for less than 1 month (Patient) $1$1$1$"To sum this one up,my family called this one ""lie down before you fall down.""  I tried this one twice in the last 10 years.  Just can't tolerate it."
632$Bipolar Depression$4/11/2012 2:26:29 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$4$3$Lamictal has changed my life for the better.  My highs and lows are now less severe, I no longer go from moody to nice all the time and my anger and frustration is controlled.  The beginning was rough because I felt like I was in a twilight zone, but hang in there if you are experiencing this because the drug does work wonders.
633$Bipolar Depression$4/6/2012 3:09:03 AM$Reviewer: quantummind, 35-44 Female  on Treatment for 5 to less than 10 years (Patient) $4$5$4$Started at 200mg back in 2005. Increased to 400mg sometime after that...I don't remember. But it saved me! Was a total god send. But now I think it's not as effective as it use to be. Started on lithium about 8 months ago, right after I was layin in the road making an attempt, and went to jail. At that point I started seeing a psychiatrist...that's when I started the lithium. Guess the combo at least keeps me off the pavement and out of jail...good god.
638$Bipolar Depression$3/20/2012 11:21:06 AM$Reviewer: Jackie, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$My psychiatrist recently doubled my dose of Lamictal. I have been taking it for 4 years. It has helped in use with my anti-depression medication (prozac) to stabilize my mood swings. In the last few months, the side effects of the mood swings has recurred. That is why my doctor doubled my Lamictal from 300mg per day to 600mg. I have been on the increased dose for about 3 weeks. It has definitely lessened my mood swings.
639$Bipolar Depression$3/19/2012 11:51:52 AM$Reviewer: 45-54 Male  on Treatment for 1 to 6 months (Patient) $2$1$2$This medication caused me to sleep walk and do things while asleep.  It had me wondering if what I remembered was a dream or really happened.  I guess it helped with my depression sort of. It got to the point where I was losing balance while walking and I fell climbing some stairs. 
640$Bipolar Depression$3/19/2012 12:10:27 AM$Reviewer: Bamajci, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $4$5$5$"This medication, I feel , has done wonders for me The Lithium seems to make to make me feel like a ""robot"".I I've should give give the lithium more time I've only taken it 4 4weeks. the Lamictal has been good for me. I hope I've helped someone.God Bless You."
641$Bipolar Depression$3/18/2012 11:20:00 PM$Reviewer: 45-54 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$
644$Bipolar Depression$3/10/2012 1:08:01 AM$Reviewer: Redhead, 35-44 Female  (Patient) $3$5$4$" N/'a


"
648$Bipolar Depression$2/24/2012 12:24:30 PM$Reviewer: MusicLover777, 19-24 Female  on Treatment for less than 1 month (Patient) $5$4$4$
651$Bipolar Depression$2/13/2012 3:22:19 AM$Reviewer: Vic NJ, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Diagnosed as Bipolar I. Taking Lamictal for about 6 months. Was taking Cymbalta before that. Lamictal is the better of the two. The side effects certainly occur but I consider them annoying, nothing more. I listed them in case you may think your side effects are unusual. Side effects (for me) include: Have experienced a slight back-of-the tongue swelling. Can't climb a ladder. Very emtional eg cry at the drop of a hat. Have to sleep every few hours. Vomitting during a meal every couple of weeks or days. Extreme laziness is almost constant. Summary: Love this drug. My actions were unpredictable before taking Lamictal.
