$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Depression$12/23/2018 6:00:43 PM$Reviewer: Oly, 55-64 on Treatment for less than 1 month (Patient) $1$1$1$Day 2 i felt really bad had shortness of breath bad anxiety.  Was afraid to leave my house just couldn't focus on anything. 
77$Condition: Depression$10/1/2011 12:44:17 AM$Reviewer: lindapg27, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$5$I've tried Prozac 20 years ago and it gave me more anxiety.  I don't understand how one seritonin uptake inhibitor can be so different. I used to think crying all the time was normal. I was put on Zoloft and my whole world brightened up. Not sure sertraline is quite as effective. That being said.  Regarding side effects, I haven't to my knowledge had any of the bad ones.  I think one should not be afraid of trying it. If it doesn't work.  Stop.  I couldn't believe how much better I felt on it. I'm up to 100 prescribed but am halfing it and hope I don't have to be on it forever, but for now I give it a great review. Psychiatry is trial and error. Thanks!
78$Condition: Depression$9/16/2011 10:49:52 PM$Reviewer: tparker, 65-74 Female  on Treatment for 5 to less than 10 years (Caregiver) $1$1$2$my mom started taking this med, a few years ago, and she is not the same person, i would not recommend this drug to no one.
79$Condition: Depression$8/19/2011 3:48:23 PM$Reviewer: 75 or over Male  on Treatment for 5 to less than 10 years (Patient) $4$5$5$
80$Condition: Depression$8/19/2011 9:51:03 AM$Reviewer: 65-74 Female  on Treatment for less than 1 month$3$1$4$It makes me sleepy.
81$Condition: Depression$8/17/2011 7:18:21 AM$Reviewer: SweetSadie13,  Female  on Treatment for 1 to 6 months (Patient) $4$4$5$Able to sleep at night and quit dwelling on the situation.
82$Condition: Depression$8/4/2011 8:32:18 AM$Reviewer: 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$4$5$
83$Condition: Depression$7/23/2011 7:21:31 PM$Reviewer: Jess, 65-74 Female  on Treatment for 1 to 6 months (Patient) $5$4$4$I feel upbeat and not as if everybody dislikes me. zoloft worked for me. I wanted to lose weight and I have lost 17 lbs since taking this drug.
84$Condition: Depression$6/23/2011 1:40:08 PM$Reviewer: 55-64 Male  on Treatment for less than 1 month (Patient) $2$2$4$
85$Condition: Depression$6/20/2011 4:24:20 PM$Reviewer: John, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$I believe this prescription, although not perfect, has delivered a positive result. I have not experienced the severe side effects noted here...vivid dreams, loss of appetite to a certain degree, however nothing as severe as what I have read. I spoke with my physician and pharmacist just today and with research, have learned that often a secondary medication serves to compliment this (or whichever primary medication), one may be using. I also agree with several of the posts here re: the benefit of exercise, which has shown to produce significant physiological benefits. Bottom line ... don't give up! I am facing bankruptcy, among other challenges, and although we will all have good and bad days, there is never a good reason to harm oneself or others. I choose to stay positive, and hope you will too! 
86$Condition: Depression$6/14/2011 10:18:11 AM$Reviewer: 19-24 Female  on Treatment for less than 1 month (Patient) $4$4$5$Very naucious for days after starting- to the point i cannot keep anything down... headaches and dizziness as well
87$Condition: Depression$5/27/2011 7:19:48 PM$Reviewer: nikisutrot, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$4$been on sertraline for two years now. up to 100mg for this med, now going to 50mg per my doctor. gained 30 pounds and i'm very tired all the time. will see if weight comes off, and i'm not so tired anymore. very dry mouth/throat. weird dreams. but takes away anxiety and depression. this does work for me. prescribed this after i had back surgery and experienced depression and severe anxiety.
88$Condition: Depression$5/20/2011 4:01:17 PM$Reviewer: mac, 19-24 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$This drug gave me the power to overcome my depression. It has affected me so postively, and I've been on it for two years now. I hope to eventually wean myself off of it, but as of now I'm extremely happy with it. The bottom line is, you have to find the drug that works for you. I'm sure many people experience horrible side effects, but I have never experienced any, whatsoever. I am thankful for this drug because without it I'm a nutcase. However, it is important to see a therapist in conjunction with medication. That makes a world of difference.
89$Condition: Depression$4/27/2011 8:14:21 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$
90$Condition: Depression$4/24/2011 2:25:37 AM$Reviewer: 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $3$1$3$First tried this when I was a teenager.  After about a month, I had an irresistable urge to cut myself.  It went away a couple of months after I got off it.  I went on it again in my 20's and did not experience this side effect again.  It did help with the depression, but it took a good year before I completely recovered. Also, SSRIs in general tend to make migraines worse and for me this drug was no exception.
91$Condition: Depression$3/24/2011 2:43:51 PM$Reviewer: feel so much better, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $2$1$4$"If you don't like to achieve orgasm or wait 30 minutes to. This is for you. 

Severe suicidal thoughts when pushed up to 200mg. "
92$Condition: Depression$3/11/2011 12:54:03 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $3$2$5$I have taken this med 3 separate times for differnet lengths of time. When I dont take it I feel angry about everything and anything. When I do take it I seem to handle things better. I agree with the dreams. They are vivid and bizarre and I remember every single one. When I am not on it I dont have those. I still feel sadness but I feel like I can focus when I am on the med. 
93$Condition: Depression$2/14/2011 1:30:13 PM$Reviewer: 19-24 Female  on Treatment for less than 1 month (Patient) $3$3$5$so ive read all of these reviewes... and now im really scared to take this med... im feeling very bad... this disqusting taste in my mouth... i havent been eating at all.. suicide has been on my mind since i was about 13 years old... i feel like its getting better but i cant handle this nasty taste, nausiea, diarrea, oh and vomiting... i felt that the reviews were really helpful... just sad thta a 17yr old took her life... god forbid anyone go thru this... but im scared to keep going with this med... kinda scared
94$Condition: Depression$2/3/2011 2:19:42 PM$Reviewer: STR_GZR, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $3$4$5$I can definitely see a difference in my mood when I forget to take it for a few days. I tend to become recluse and irritable. On the days I take it as directed, however, I am much more social and patient. I could still use some more help with sadness and irritability, but don't want to increase my dosage so am seeing a psychologist along with my psychiatrist. Bizarre and vivid dreams are very common for me, too, but do not interrupt my sleep or my day. Finally, it's helped a lot with my anxiety and stress levels. I am a physics major in college so the added stress of that to life in general makes taking this medication a wonderful option for me.
95$Condition: Depression$1/31/2011 10:16:59 PM$Reviewer: 19-24 Female  on Treatment for 1 to 6 months (Patient) $5$3$5$This is the second time I have been on this medication and both times now I have exprenced severe mood swings once I started it.
96$Condition: Depression$1/13/2011 1:26:15 AM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $2$1$3$
97$Condition: Depression$1/2/2011 1:32:14 PM$Reviewer: 45-54 Female  (Patient) $1$1$1$I havent been taking my medication like it I should so I can't check a star. On my next check in I will mark a star.
98$Condition: Depression$12/28/2010 4:04:02 PM$Reviewer: dawg, 45-54 Female  on Treatment for 10 years or more (Patient) $1$1$5$"It seems I can no longer take ANY SSRI's. Sertraline was the last one. My mood improved for a few weeks, likely the Hope that I would feel better. Along about week 8 I became Homicidal, Suicidal and I started Stealing. I have Never in my life been one to shoplift, this drug gave me a ""who cares"" attitude. I'm off of it now. I've taken 15 different SSRI's over the years. Turns out they can and DO have opposite Negative effect of what they are used for.  Volumes of data/studies to support the dangers of these drugs, especially in those of us where they are Non Effective. I attempted suicide in 2003 while on Prozac.  Now I am trying diet, exercise and meditation. What choice is left?"
99$Condition: Depression$12/21/2010 2:34:03 PM$Reviewer: 55-64 Male  on Treatment for less than 1 month (Patient) $2$1$5$I had been on Lexapro for depression and our insurabce would not cover this medication, so my Dr changed to Sertralin. So far my depression is getting worst again.
100$Condition: Depression$12/13/2010 5:37:03 PM$Reviewer: H.Elaine, 19-24 Female  on Treatment for 1 to 6 months (Patient) $5$4$5$I was diagnosed with anxiety and depression when I was 16. I started taking the generic Zoloftabout three weeks ago. I am feeling much better, So far the only side affects I have had are: Difficulty concentrating, Decrease in appetite, and Homocidal dreams. The dreams are beginging to scare me, I am thinking about switching back to cymbalta. I have been having these dreams for about a week or so now. 
101$Condition: Depression$12/12/2010 11:36:26 AM$Reviewer: reline, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$4$
102$Condition: Depression$11/23/2010 10:38:22 PM$Reviewer: 65-74 Female  on Treatment for 1 to 6 months (Patient) $3$3$4$nothing differant in personality
103$Condition: Depression$11/20/2010 11:54:34 AM$Reviewer: 13-18 Female  on Treatment for 1 to 6 months (Patient) $3$4$5$I was prescribe prescription Zoloft after being diagnosed with social anxiety, and depression while I was in the hospital for psychiatric reasons. When I got home, my insurance only covered generic sertraline. I must say, it is not as nearly as effective as zoloft. Also, the side effects are nearly unbearable somedays. Headaches where it hurts to move my eyes, and drowsiness beyond belief. Somedays it works and some days it does not. I can say with certianty though I still have panic attacks and depression while taking it.
104$Condition: Depression$11/17/2010 10:35:41 PM$Reviewer: 1kimbo, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$4$
105$Condition: Depression$9/16/2010 8:33:02 PM$Reviewer: blondie93, 13-18 Female  on Treatment for less than 1 month (Patient) $1$1$3$I have been on this medication for only a week. But in that week i have had panic attacks, shaky, nausea, trouble sleeping, and once my face went tingly and then numb. so far, NOT SATISFIED!
106$Condition: Depression$10/27/2010 1:50:28 PM$Reviewer: midget60, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$This medication has worked extremely well for me. I've suffered with depression all my life. without it I am a basket case.
107$Condition: Depression$10/23/2010 12:51:32 AM$Reviewer: mmc100bb, 35-44 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$I have been on this for 2 months ad havent felt this good in years.
108$Condition: Depression$10/21/2010 6:17:57 AM$Reviewer: 45-54 Female  on Treatment for 1 to less than 2 years$4$4$4$
109$Condition: Depression$9/9/2010 10:42:26 PM$Reviewer: Jammer, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$"   I have been taking this medication for 22 months now, it took 6-8 weeks to start taking effect. my Doctor warned me that it would. My hands used to tremble when my husband would get upset with me over something. My whole body would feel ""shaky"".
   My only concern is missing a dose. One day I missed my pill (50 mg) and it didn't affect me, so I started to take it every other day, on the third day of skipping it I had what I believe to be a panic attack. I was really jumpy, got snippy with people and just couldn't concentrate at work. I won't do that again but I'm worry about what will happen when I feel I can stop taking it."
110$Condition: Depression$8/29/2010 10:12:45 PM$Reviewer: Chunk, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $3$1$1$I have been on this for about 4months. It is by far the worst I have ever been on. My doctor started me on the 25mg 8day then 50mg 8days then 100mg daily. It has made my life so hard that it made me more depressed and more aniexious. The side effects are killer. Always Naususa, uncontrollable diahirrea, headaches, Excessive sweating, dry mouth, awful taste in mouth, no sex drive. It has made my life a living hell. I am on the generic and am in the process of being weaned off it, only a week left at 25mg. I do not recommend this to anyone, I am going to try to do without anything for awhile but probably go back to lexapro or cymbalta they seem to work not as good but no side effects.
111$Condition: Depression$8/21/2010 7:31:55 AM$Reviewer: 19-24 Female  on Treatment for less than 1 month (Patient) $1$2$2$I was put on this for depression & severe anxiety which has caused HORRIBLE sleep issues (sleeping 2-3hrs at a time, sometimes by 10am). I have been on this medication for 1wk so far but haven't started to experience anything improving. I'm still having trouble sleeping, I've been having random bad headaches, mood swings/crying episodes at night. Hoping this ends after a full 4wks. Don't know how I am going to function in 2wks with full time classes & work at night :-X
112$Condition: Depression$8/20/2010 3:32:20 PM$Reviewer: 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$4$This drug has given me the energy and the stability to deal with the issues surrounding my depression.  My only issue with it is if I ever forget to take it in the morning, I tend to experience nausea or dizziness during the day until I remember and take the medication.
113$Condition: Depression$8/10/2010 4:23:32 PM$Reviewer: hubby needs his wife back, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $3$4$5$I have been on this medication for almost 2 years. I have felt side effects, but thought that it was just me. Now after reading other posts, I am definitely sharing side effects with others. Dry mouth, lethargic but not enough to keep me from a full time job or doing things that I enjoy doing, increased appetite, decreased sex drive, & instant moodiness when I stopped taking it about a month ago. I am now back on it and I am making an appointment with my DR to see if there is an alternative that will be more beneficial to me, as the decreased sex drive is beginning to effect my marriage (married almost two years).
114$Condition: Depression$8/8/2010 3:55:45 PM$Reviewer: 45-54 Male  on Treatment for 1 to 6 months (Patient) $4$5$5$
115$Condition: Depression$7/29/2010 12:25:58 PM$Reviewer: $2$2$4$
116$Condition: Depression$7/23/2010 9:35:09 PM$Reviewer: Dr Happy, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$This drug changed my life and my marriage. When I first took it my face felt flushed. Almost immediately I was more relaxed, stopped worrying about inconsequential things, and stopped over-reacting to people and situations. 
117$Condition: Depression$7/10/2010 11:19:35 AM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $2$1$1$I had taken brand name Zoloft about 10 years ago for panic disorder & it was a life saver with the only side effect being very mild, occasional nausea. After 6 months, I got off the drug & had no panic attacks since.  Recently, I was diagnosed with depression. I requested Zoloft again because it had worked wonders for me in the past. I wound up using the generic. I've been on a low dose of 25mg for the past 4 days & have terrible insomnia (as I write this, I've been awake since 3am) teeth grinding, headache, severe nausea & diarrhea. I can't use this anymore. I just read an article that said patients tend to have more side effects with the generic vs brand name of this drug.
118$Condition: Depression$6/28/2010 4:35:25 PM$Reviewer: Hammer, 55-64 Male  on Treatment for 1 to 6 months (Patient) $4$3$4$Had almost an immediate improvement in mood. Anxiety diminished and zero panic attacks. After about 4 months though, I couldn't handle the constant nausea and lethargy. Lately, I've noticed more angry/hostile feelings. Called the doctor who is switching me to Celexa.
119$Condition: Depression$6/11/2010 10:58:39 PM$Reviewer: Sad Mom, 45-54 Female  on Treatment for 1 to 6 months (Caregiver) $1$1$3$I am writing this for my daughter, Julie.  She was perscribed this medication to treat her depression.  She had had thoughts of suicide a few months prior to taking this medication.  After two months of taking these pills she passed away from suicide by hanging herself in her father's basement, she was 17 years old.  She had had severe trouble sleeping, shaking and also severe mood swings.  She also experienced heavier then normal menstral cycles.  Doctors should monitor these patient taking anti-depressants with more care.  My daughter was admitted to an Ontario Canada hospital with her first suicide attempt, they released her only after a couple of days.  The original stay in hospital was to be two weeks......All I can say it is sad when hospitals would much rather give a patient pills and not the care they need.
120$Condition: Depression$5/14/2010 1:47:04 AM$Reviewer: wkaseylee, 25-34 Female  on Treatment for less than 1 month (Patient) $5$3$5$Missing of period
121$Condition: Depression$4/18/2010 11:41:52 PM$Reviewer: iluvluisjr8209, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$A few weeks after I had my son i went through postpartum depression. At first i was scared to take an anti depression cuz i heard so many negative things about them. My depression worsened,so i went to my family doc and he prescribed me 50ml of sertaline, about 3 weeks into takin the medication, my anxiety increased. I went back to him and he uped my dosage to 100mg. Since then i been feeling alot better. I been on it for about 8 months now, and im going to try and wean off it sometime soon. I didnt really notice any side affects from this drug. I guess i got lucky
122$Condition: Depression$4/16/2010 2:20:24 AM$Reviewer: 55-64 on Treatment for 1 to 6 months (Patient) $3$3$5$
123$Condition: Depression$4/7/2010 10:24:56 PM$Reviewer: 55-64 Male  on Treatment for 2 to less than 5 years (Patient) $4$3$4$I am decreasing my use of this drug because it causes me ejaculation delay so much that I am the marathon man.  Prior to being diagnosed with diabetes i had premature ejaculation.
124$Condition: Depression$3/18/2010 8:33:19 PM$Reviewer: campinator, 25-34 Male  on Treatment for 1 to 6 months (Patient) $2$1$5$I strated my depression medication with fluoxtine and that junk mad me feel terrible: shaking for no reason, sever panic attacks, thinking that i was dying.  Switched to sertraline after about 2 months.  Much better side effects until I realised that I completely lost motivation and the ability to concentrate.  I also quit caring about almost everything: I just couldn't be bothered.  When I started I weighed 173, 5 months later I weigh 198.  While this drug did level out my mood, it set it so low I could not function properly.  Up next: Lexapro.
125$Condition: Depression$3/7/2010 9:14:27 AM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$4$The only problem i have with this medication is no desire to have sexual relations . Otherwise my mood and energy level have both increased.
126$Condition: Depression$2/18/2010 10:08:46 PM$Reviewer: nikki, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $2$1$3$dont like this medication at all. I constantly have a headache, I forget things and a drop in sexual desire.   Cant wait until my dr. tries a different med.  I dont feel much of a differance in my moods  on the medication I think I cry more 
127$Condition: Depression$2/15/2010 10:13:15 AM$Reviewer: imoffit, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) $4$2$5$"Though apparently effective while using, the symptoms after the ""weaning"" process were terrible for me: throbbing head, mild dizziness, lassitude. If there's a next time, I'll deal with the depression non-medically."
128$Condition: Depression$2/11/2010 1:04:34 AM$Reviewer: nursie50, 55-64 Female  on Treatment for 1 to 6 months (Patient) $3$2$5$"I still can't sleep or do anything around the house when I'm not HAVING to go to work.
All I want to do is sleep."
129$Condition: Depression$2/7/2010 3:33:59 PM$Reviewer: 65-74 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$5$
130$Condition: Depression$2/4/2010 3:16:28 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$4$"I was on it for about 10 days and everything changed and I got irritated, angry feelings, much anxiety and just ""flew off the handle"" a couple of times.  It did not improve at all but things worse."
131$Condition: Depression$1/27/2010 10:05:22 PM$Reviewer: 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$5$"I have been on this drug a little over a year I am being treated for depression and panic attacks(50mg) It took about 4 weeks to start working and I started to feel better.. then out of know where I started to get severe panic attacks...(very scary)
so my doctor increased my dosage to 100mg I  have been at this dosage for about 4 months now and feel great.I make sure now that I take it at the same time every day and don't miss a dosage. In the beginning I did have a loss of appetite and lost about 20 lbs. Also now I do get a tremor in my hands once in a while but nothing major.Over all I feel better than I have in years,My husband and I hardly fight anymore and my moods are more stable and now that many of my stresses are out of my life I'm hoping to wean off the meds soon.  "
132$Condition: Depression$1/23/2010 7:17:44 PM$Reviewer: mat, 35-44 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$Prozac gave me headaches but sertraline seems to be milder and is helping me sleep and be in better moods.
133$Condition: Depression$1/22/2010 8:46:33 PM$Reviewer: FINALLY HAPPY, 13-18 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I've been using 100mg of Sertraline daily and it has greatly improved my life. It did effect my focus and I felt slightly tired during the mid-day. However, I switched to taking it at night and those symptoms were greatly reduced. When my dosege was bumped up to 150mg I experianced extreme shaking in my hands and it was nearly impossible to focus, so I was dropped back to 100mg. It is an effective drug and I'm happy to say that it has changed my life.
134$Condition: Depression$1/21/2010 2:37:46 PM$Reviewer: elissa sangi, 45-54 Female  on Treatment for 10 years or more (Patient) $5$5$5$This medicine was very stong and I could feel it working in my brain as I was diagnosed with severe depression. I attribute Zoloft with getting me out of the street as I went from teaching to being homeless due to a severe emotional breakdown.  I don't know where I would be without the Zoloft.  I do know, for a fact, Zoloft should not be given to children or teen-agers as they are TOO strong.  Zoloft should be give to adults only and by that I mean 30 yrs and up.
135$Condition: Depression$1/9/2010 2:39:57 PM$Reviewer: oldfogey, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$"Love the medication. Doesn't zonk me out like the others that I have tried over the years.  My depression resulted from being in chronic pain. Meaning 24/7 with no relief from a pharmacy of pain meds.
This medication is calming and very effective.  I take it once daily, at the same time each day, and seem to stay on an even keel. Holidays are even easier. Hope your results are the same"
136$Condition: Depression$1/5/2010 8:31:47 PM$Reviewer:  cassie, 55-64 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I have taken sertraline for about 2 years,and It keeps me on an even keel through the day. I suffer no side affects from it. I am very pleased with the results.
137$Condition: Depression$1/3/2010 5:58:01 PM$Reviewer: 55-64 on Treatment for 10 years or more (Patient) $5$5$5$"I have suffered with depression since childhood.  I began this medication several years ago, I was told that once I started I would have to use it for the rest of my life because I do not produce serotonin. This drug has normalized my emotions and life is good.  

I thank God for this medication. "
138$Condition: Depression$1/2/2010 1:29:17 PM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $3$3$3$I was wondering how long it takes before you feel the effects? I have been on zoloft for about one week and do not feel any different.
139$Condition: Depression$12/28/2009 10:06:08 PM$Reviewer: ska, 25-34 Female  on Treatment for less than 1 month (Patient) $1$1$1$This drug did not work for me at all! It made me feel like the laziest person on earth, headaches were outrageos, so tired, and trouble rememberin things!
140$Condition: Depression$12/24/2009 3:48:17 PM$Reviewer: Hero, 75 or over Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$I have been on this drug for 8 months-went off for awhile-but needed to start it again-it works for my depression very well.
141$Condition: Depression$11/30/2009 3:07:34 PM$Reviewer: 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$I have been very pleased with Sertraline.  It has saved my life - I am thankful to be able to take it.
142$Condition: Depression$11/23/2009 9:59:43 PM$Reviewer: Shay, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$4$i can say b4 i started taking this med i was in a stste of depression and didnt know what to do my kids noticed a change and also my  friends and other fam members but after taking this med for awhile i have started to feel better i have taken back control of my life and i am beginning to do things that i love to do again
143$Condition: Depression$11/20/2009 5:52:24 PM$Reviewer: justme, 35-44 Male  (Patient) $4$4$5$Quite satisfied with the drug to deal with depression over divorce.  On for 24 months now. No side effects except delayed orgasm.  Not complaining about that one, neither is my girlfriend.  :)
144$Condition: Depression$11/18/2009 9:43:23 PM$Reviewer: gtrmn, 45-54 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$I am extremely happy with Sertraline. It took forever for me to finally admit that I had a problem and go to my doctor, but thank God I finally did. It took me three weeks to notice any really serious improvement, but once I did it was like I finally got my old self back again.  The only side effects I have experienced is a very slight decrease in interest in sex (nothing major, just takes a little bit longer) and drowsiness. Since it has caused drowsiness, I simply started taking it at night and solved another long term problem, insomnia. Overall, I am absolutely thrilled with the results.
145$Condition: Depression$11/17/2009 10:57:39 AM$Reviewer: smileseeker, 35-44 on Treatment for less than 1 month (Patient) $3$3$3$After 2 terrible weeks on Welbutrin my doc has just started me on 50 mg of zoloft ,fingers crossed ,i will keep you guy's posted .Depression along with social phobia is my double whammy .the reveiws i've read sound promising .I know my smile is out there i just to find it .
146$Condition: Depression$11/14/2009 1:46:55 PM$Reviewer: 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$even though initial couple of months had the regular sideaffects,i started feeling v good by the end of 2nd month after starting the medication.i had hallucinations,excessive talking,etc whn my dose was high-175mg,n it was gradually reduced when my mood got better and better.but nw it has bn reduced to 50 mg,so no prblems.but i can feel slight recurrence of my initial depressive mood.my husband is an emotional abuser,and he is not helping in any way.so i have to  find ways to strengthen myself.i never want to go back to that horrible time of life when i was severely depessed and had anxiety attacks.i dnt mind taking the medication as long as it doesnt give any sideaffect problems of its own upon longterm use.i am worried only abt that part.
147$Condition: Depression$11/3/2009 5:06:41 PM$Reviewer: Grey, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$Zoloft treats my depression ans anxiety very well.  I'd like to know if any other females on this drug have experienced hair thinning.
148$Condition: Depression$10/24/2009 6:53:37 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $4$5$5$i am taking this medicine and i beleive im allergic to it.
149$Condition: Depression$10/21/2009 2:15:17 PM$Reviewer: silvia, 13-18 Female  on Treatment for 1 to 6 months (Patient) $3$3$3$
150$Condition: Depression$10/19/2009 10:10:47 PM$Reviewer: jopa, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$been on it for 5 years, never felt better
151$Condition: Depression$10/10/2009 8:56:26 PM$Reviewer: 35-44 Male  on Treatment for less than 1 month (Patient) $1$1$2$I cant keep food down.
152$Condition: Depression$10/8/2009 1:17:45 PM$Reviewer: shawndeebrit, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$Does this medication make u itch all over? this medication helps me, but sometimes i forget to take it because i have to take a thyroid pill to and i can't take anything else until a half our after that.
153$Condition: Depression$9/28/2009 9:59:35 PM$Reviewer: Gary, 55-64 Male  on Treatment for less than 1 month (Patient) $4$4$5$
154$Condition: Depression$9/10/2009 8:22:04 AM$Reviewer: lore_dfly, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $4$5$5$"I have been taking Sertraline for about 3 years now and I can tell a big difference when I'm on it and when I'm not.  I started on the 50 mg dosage and was moved up to 100mg this month.  (Got moved up due to lots of changes coming into my life, not that the 50 mg didn't work)  
I have had a few strange dreams in the past, as well as having trouble sleeping (especially when first starting the drug and the dosage up-age) 
I have had a lower sexdrive but can usually pick it up after a while.  I haven't gained weight on Sertraline, rather I've lost 40 pounds in the last year--no changes in sitting on my butt or anything. =)
I like this better than lexapro and celexa, I think it works better and a bit quicker.
It did take a week or so to notice changes in my mood (for myself anyway) so don't think it's an overnight thing."
155$Condition: Depression$8/11/2009 5:43:19 PM$Reviewer: rmhill10, 7-12 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$I've been taking sertraline for about two months now and it is Great.  I'm happier, I'm doing better in school, and I'm more connected with my family.  The only problem is that recently I've been having some serious insomnia and my toes and fingers twitch a lot.  I'm pretty sure this is only because it could be too high of a dosage though and I'm too worried.  Usually side effects like thoose don't last long and my doctor is always there. Overall this is a good drug. Though like any other drug, there is really not much of a grey area.  It either works for you or it doesn't.
156$Condition: Depression$7/29/2009 7:29:37 AM$Reviewer: guybgdon381, 65-74 Male  (Patient) $3$3$5$"My worse time is in the morning.   All my problems and worries hit me like a brick, when I wake up.
I almost wish I was dead at that time.  After I get up and around., I feel somewhat better.
Sertraline helps me get a handle on my terrible depression, in the morning.
However, it only takes the rough edges off the depression.
I can not remember ever not worrying about something, but in my older age, it is much worse.
I do like the way sertraline has helped me make it through the day, but wish my depression would totally leave."
157$Condition: Depression$7/22/2009 1:08:20 PM$Reviewer: goodpop, 65-74 Male  on Treatment for 1 to less than 2 years (Patient) $2$1$4$constant nerveious and trouble sleeping 
158$Condition: Depression$6/26/2009 11:41:28 AM$Reviewer: tiger01, 45-54 Male  on Treatment for less than 1 month (Patient) $3$4$5$left foot felt like it beloned on somebody else.
159$Condition: Depression$6/12/2009 12:57:40 PM$Reviewer: help me, 13-18 Female  on Treatment for less than 1 month (Patient) $3$3$5$does this stuff delay a period since i have only been on this for less than a month??its only been 3 weeks and my period never showed up.
160$Condition: Depression$6/7/2009 9:42:33 PM$Reviewer: purplepie, 75 or over Female  on Treatment for less than 1 month (Patient) $4$5$5$
161$Condition: Depression$6/5/2009 7:01:37 PM$Reviewer: 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$I have been on this medication previously for a couple of months and stopped because I was feeling better, this time around I am on the 50 mg. I immediately felt better in a week or so even though I had some mild nausia the first few days. I have noticed things are brighter and more optimistic so I definately feel like it has helped with my emotional breakdowns and I can actually laugh and enjoy more things now. As far as feeling lethargic it has helped me tremendously starting to take this med at bedtime as opposed to during the day. I still feel the benefits without the drowsiness while at work 
162$Condition: Depression$5/31/2009 2:02:27 PM$Reviewer: Alaina S, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$5$"I switched from Lexapro to Zoloft about a year ago and it has worked very well for me.  The only down sides to it are slight weight gain and lessened sex drive but considering it pretty much got rid of my manic depression and anxiety it is worth sacrificing those two things.  

One note:  for about the first two weeks you take it you will have moderate to severe nausea, or at least I did.  It passes though so don't stop taking it.  It also occurs again if you forget to take a couple of doses (as well as your symptoms coming back...).

Also, Zoloft may change the way you taste things.  I used to smoke but after about a month of zoloft the taste of cigarettes made me instantly sick to my stomach and eventually so did the smell of the smoke (I guess this is a good thing though).

Also, if your depression/anxiety was causing you not to have a good nights rest you will have the best sleep of your life on Zoloft but for first month or so be sure to schedule at least 8 hours for sleep or else you will wake up lethargic. "
163$Condition: Depression$5/31/2009 6:09:01 AM$Reviewer: mpcoin, 25-34 Male  on Treatment for 2 to less than 5 years (Caregiver) $5$3$2$
